Higher Taxon,December 2012,Family,Subfamily
Amphisbaenia,Mesobaena huebneri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Mesobaena rhachicephala,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis adercae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis anchietae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis capensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis decosteri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis galeata,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis guentheri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis infuscata,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis jugularis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis kabindae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis leonhardi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis luandae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis perplexus,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis remaclei,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis rhodesiana,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis scalper,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis schoutedeni,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis sphenorhynchus,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis vanderysti,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis welwitschii,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Monopeltis zambezensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Zygaspis ferox,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Zygaspis kafuensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Zygaspis nigra,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Zygaspis quadrifrons,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Zygaspis vandami,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Zygaspis violacea,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Bipes biporus,Bipedidae,Bipedidae
Amphisbaenia,Bipes canaliculatus,Bipedidae,Bipedidae
Amphisbaenia,Bipes tridactylus,Bipedidae,Bipedidae
Amphisbaenia,Blanus cinereus,Blanidae,Blanidae
Amphisbaenia,Blanus mariae,Blanidae,Blanidae
Amphisbaenia,Blanus mettetali,Blanidae,Blanidae
Amphisbaenia,Blanus strauchi,Blanidae,Blanidae
Amphisbaenia,Blanus tingitanus,Blanidae,Blanidae
Amphisbaenia,Cadea blanoides,Cadeidae,Cadeidae
Amphisbaenia,Cadea palirostrata,Cadeidae,Cadeidae
Amphisbaenia,Rhineura floridana,Rhineuridae,Rhineuridae
Amphisbaenia,Agamodon anguliceps,Trogonophiidae,Trogonophiidae
Amphisbaenia,Agamodon arabicus,Trogonophiidae,Trogonophiidae
Amphisbaenia,Agamodon compressus,Trogonophiidae,Trogonophiidae
Amphisbaenia,Diplometopon zarudnyi,Trogonophiidae,Trogonophiidae
Amphisbaenia,Pachycalamus brevis,Trogonophiidae,Trogonophiidae
Amphisbaenia,Trogonophis wiegmanni,Trogonophiidae,Trogonophiidae
Rhynchocephalia,Sphenodon punctatus,Sphenodontidae,Sphenodontidae
Sauria,Acanthocercus adramitanus,Agamidae,Agaminae
Sauria,Acanthocercus annectens,Agamidae,Agaminae
